The list of highly confident candidate RNAs predicted by PredSynRNA using the developmental brain gene expression data from the BrainSpan.,,,,,
gene_symbol,ensembl_gene_id,description,predicted probability by SVM,predicted probability by RF,predicted probability by ANN
AXL,ENSG00000167601,AXL receptor tyrosine kinase,0.763,0.714,0.813
PTOV1,ENSG00000104960,PTOV1 extended AT-hook containing adaptor protein,0.672,0.904,0.713
C14orf132,ENSG00000227051,chromosome 14 open reading frame 132,0.844,0.697,0.748
TAGLN2,ENSG00000158710,transgelin 2,0.828,0.622,0.837
LRRC29,ENSG00000125122,leucine rich repeat containing 29,0.77,0.684,0.833
PPP1R14B,ENSG00000173457,protein phosphatase 1 regulatory inhibitor subunit 14B,0.768,0.636,0.882
MYOZ1,ENSG00000177791,myozenin 1,0.716,0.68,0.89
A1BG,ENSG00000121410,alpha-1-B glycoprotein,0.878,0.514,0.893
ZNF467,ENSG00000181444,zinc finger protein 467,0.789,0.718,0.778
RGR,ENSG00000148604,retinal G protein coupled receptor,0.745,0.62,0.917
FBXO44,ENSG00000132879,F-box protein 44,0.74,0.775,0.765
MYBPC1,ENSG00000196091,myosin binding protein C1,0.751,0.693,0.836
MEGF11,ENSG00000157890,multiple EGF like domains 11,0.696,0.726,0.857
MRPS7,ENSG00000125445,mitochondrial ribosomal protein S7,0.783,0.718,0.777
GAMT,ENSG00000130005,guanidinoacetate N-methyltransferase,0.768,0.682,0.828
CYCS,ENSG00000172115,"cytochrome c, somatic",0.829,0.67,0.778
C16orf86,ENSG00000159761,chromosome 16 open reading frame 86,0.809,0.646,0.822
MYO1F,ENSG00000142347,myosin IF,0.68,0.802,0.794
SRI,ENSG00000075142,sorcin,0.698,0.83,0.748
MMD2,ENSG00000136297,monocyte to macrophage differentiation associated 2,0.82,0.657,0.797
TMEM208,ENSG00000168701,transmembrane protein 208,0.697,0.778,0.798
HYAL1,ENSG00000114378,hyaluronidase 1,0.752,0.673,0.847
METTL9,ENSG00000197006,methyltransferase like 9,0.784,0.687,0.801
HCLS1,ENSG00000180353,hematopoietic cell-specific Lyn substrate 1,0.7,0.8,0.771
OPLAH,ENSG00000178814,"5-oxoprolinase, ATP-hydrolysing",0.69,0.785,0.795
NWD1,ENSG00000188039,NACHT and WD repeat domain containing 1,0.815,0.58,0.875
FERMT3,ENSG00000149781,FERM domain containing kindlin 3,0.668,0.797,0.804
RBPMS2,ENSG00000166831,"RNA binding protein, mRNA processing factor 2",0.676,0.726,0.867
GGN,ENSG00000179168,gametogenetin,0.79,0.703,0.775
CDK2AP2,ENSG00000167797,cyclin dependent kinase 2 associated protein 2,0.726,0.798,0.743
GPC5,ENSG00000179399,glypican 5,0.805,0.761,0.701
CAPG,ENSG00000042493,"capping actin protein, gelsolin like",0.828,0.525,0.913
MLLT1,ENSG00000130382,MLLT1 super elongation complex subunit,0.814,0.682,0.768
FABP7,ENSG00000164434,fatty acid binding protein 7,0.662,0.817,0.784
GNAQ,ENSG00000156052,G protein subunit alpha q,0.798,0.725,0.74
LAPTM4A,ENSG00000068697,lysosomal protein transmembrane 4 alpha,0.666,0.898,0.699
FGGY,ENSG00000172456,FGGY carbohydrate kinase domain containing,0.718,0.703,0.842
GCAT,ENSG00000100116,glycine C-acetyltransferase,0.66,0.806,0.796
ZNF703,ENSG00000183779,zinc finger protein 703,0.842,0.67,0.75
SLC12A4,ENSG00000124067,solute carrier family 12 member 4,0.73,0.622,0.91
IL4R,ENSG00000077238,interleukin 4 receptor,0.761,0.613,0.887
CSF3R,ENSG00000119535,colony stimulating factor 3 receptor,0.688,0.757,0.816
CBR3,ENSG00000159231,carbonyl reductase 3,0.708,0.692,0.86
ALDH6A1,ENSG00000119711,aldehyde dehydrogenase 6 family member A1,0.761,0.738,0.76
ZNF580,ENSG00000213015,zinc finger protein 580,0.803,0.636,0.82
COMMD7,ENSG00000149600,COMM domain containing 7,0.718,0.758,0.782
LGALS9,ENSG00000168961,galectin 9,0.758,0.653,0.847
NOSTRIN,ENSG00000163072,nitric oxide synthase trafficking,0.718,0.654,0.886
HEBP2,ENSG00000051620,heme binding protein 2,0.775,0.714,0.769
SOCS3,ENSG00000184557,suppressor of cytokine signaling 3,0.642,0.707,0.908
CADM4,ENSG00000105767,cell adhesion molecule 4,0.681,0.813,0.763
SIGIRR,ENSG00000185187,single Ig and TIR domain containing,0.757,0.681,0.818
TTC38,ENSG00000075234,tetratricopeptide repeat domain 38,0.731,0.664,0.861
TRIM47,ENSG00000132481,tripartite motif containing 47,0.707,0.729,0.82
SPTAN1,ENSG00000197694,"spectrin alpha, non-erythrocytic 1",0.801,0.715,0.738
NME4,ENSG00000103202,NME/NM23 nucleoside diphosphate kinase 4,0.786,0.626,0.842
RNF11,ENSG00000123091,ring finger protein 11,0.851,0.604,0.798
NUDT16L1,ENSG00000168101,nudix hydrolase 16 like 1,0.681,0.781,0.791
BCL2L2-PABPN1,ENSG00000258643,BCL2L2-PABPN1 readthrough,0.73,0.748,0.775
ENDOG,ENSG00000167136,endonuclease G,0.715,0.789,0.747
SYCE1L,ENSG00000205078,synaptonemal complex central element protein 1 like,0.823,0.6,0.828
BCL2L12,ENSG00000126453,BCL2 like 12,0.702,0.694,0.854
PARP10,ENSG00000178685,poly(ADP-ribose) polymerase family member 10,0.758,0.621,0.87
DDAH2,ENSG00000213722,dimethylarginine dimethylaminohydrolase 2,0.648,0.777,0.824
TNS3,ENSG00000136205,tensin 3,0.74,0.687,0.821
SHISA5,ENSG00000164054,shisa family member 5,0.798,0.675,0.773
BCAP31,ENSG00000185825,B cell receptor associated protein 31,0.741,0.766,0.739
IZUMO4,ENSG00000099840,IZUMO family member 4,0.76,0.55,0.933
ID3,ENSG00000117318,"inhibitor of DNA binding 3, HLH protein",0.587,0.789,0.867
MAFF,ENSG00000185022,MAF bZIP transcription factor F,0.748,0.734,0.76
TMEM147,ENSG00000105677,transmembrane protein 147,0.702,0.829,0.711
NOL3,ENSG00000140939,nucleolar protein 3,0.755,0.734,0.751
SRM,ENSG00000116649,spermidine synthase,0.737,0.797,0.705
SPHK1,ENSG00000176170,sphingosine kinase 1,0.805,0.657,0.776
MYL12B,ENSG00000118680,myosin light chain 12B,0.737,0.779,0.722
CHI3L2,ENSG00000064886,chitinase 3 like 2,0.779,0.531,0.928
RAB31,ENSG00000168461,"RAB31, member RAS oncogene family",0.743,0.755,0.74
GHITM,ENSG00000165678,growth hormone inducible transmembrane protein,0.826,0.661,0.749
PCDHGC4,ENSG00000242419,"protocadherin gamma subfamily C, 4",0.696,0.785,0.754
HES6,ENSG00000144485,hes family bHLH transcription factor 6,0.78,0.563,0.89
MGST1,ENSG00000008394,microsomal glutathione S-transferase 1,0.681,0.639,0.912
ATF4,ENSG00000128272,activating transcription factor 4,0.696,0.775,0.76
SH3TC1,ENSG00000125089,SH3 domain and tetratricopeptide repeats 1,0.786,0.566,0.879
IRX1,ENSG00000170549,iroquois homeobox 1,0.761,0.542,0.928
GNG4,ENSG00000168243,G protein subunit gamma 4,0.891,0.566,0.774
CDC34,ENSG00000099804,"cell division cycle 34, ubiqiutin conjugating enzyme",0.578,0.923,0.729
TAL1,ENSG00000162367,"TAL bHLH transcription factor 1, erythroid differentiation factor",0.748,0.667,0.815
PSAT1,ENSG00000135069,phosphoserine aminotransferase 1,0.71,0.844,0.675
TRIM41,ENSG00000146063,tripartite motif containing 41,0.769,0.794,0.666
RNF167,ENSG00000108523,ring finger protein 167,0.665,0.868,0.695
DPYSL2,ENSG00000092964,dihydropyrimidinase like 2,0.763,0.816,0.649
FAM166B,ENSG00000215187,family with sequence similarity 166 member B,0.77,0.565,0.892
STXBP2,ENSG00000076944,syntaxin binding protein 2,0.719,0.751,0.756
TMEM9,ENSG00000116857,transmembrane protein 9,0.726,0.75,0.75
ITM2A,ENSG00000078596,integral membrane protein 2A,0.628,0.893,0.704
PCDHGA6,ENSG00000253731,"protocadherin gamma subfamily A, 6",0.689,0.774,0.76
PCDHGA2,ENSG00000081853,"protocadherin gamma subfamily A, 2",0.688,0.774,0.761
FAH,ENSG00000103876,fumarylacetoacetate hydrolase,0.697,0.625,0.9
APOL6,ENSG00000221963,apolipoprotein L6,0.817,0.565,0.84
NUCB1,ENSG00000104805,nucleobindin 1,0.67,0.85,0.702
FBXL15,ENSG00000107872,F-box and leucine rich repeat protein 15,0.783,0.652,0.786
SIPA1,ENSG00000213445,signal-induced proliferation-associated 1,0.72,0.739,0.761
PCDHGA1,ENSG00000204956,"protocadherin gamma subfamily A, 1",0.685,0.778,0.757
PTPRCAP,ENSG00000213402,protein tyrosine phosphatase receptor type C associated protein,0.713,0.614,0.893
NMB,ENSG00000197696,neuromedin B,0.737,0.649,0.833
ACOT1,ENSG00000184227,acyl-CoA thioesterase 1,0.793,0.609,0.817
PCDHGA3,ENSG00000254245,"protocadherin gamma subfamily A, 3",0.686,0.774,0.759
C6orf226,ENSG00000221821,chromosome 6 open reading frame 226,0.685,0.802,0.731
MYPOP,ENSG00000176182,"Myb related transcription factor, partner of profilin",0.774,0.723,0.721
UNCX,ENSG00000164853,UNC homeobox,0.775,0.61,0.833
ACAA2,ENSG00000167315,acetyl-CoA acyltransferase 2,0.682,0.776,0.76
PCDHGA7,ENSG00000253537,"protocadherin gamma subfamily A, 7",0.684,0.774,0.759
PRDX6,ENSG00000117592,peroxiredoxin 6,0.636,0.773,0.808
WFDC1,ENSG00000103175,WAP four-disulfide core domain 1,0.757,0.731,0.729
PCDHGA10,ENSG00000253846,"protocadherin gamma subfamily A, 10",0.685,0.774,0.758
SCRN1,ENSG00000136193,secernin 1,0.826,0.697,0.694
PCDHGB7,ENSG00000254122,"protocadherin gamma subfamily B, 7",0.684,0.774,0.758
PKN3,ENSG00000160447,protein kinase N3,0.668,0.7,0.848
PRKCZ,ENSG00000067606,protein kinase C zeta,0.727,0.73,0.759
FOXJ1,ENSG00000129654,forkhead box J1,0.744,0.523,0.948
IL17D,ENSG00000172458,interleukin 17D,0.745,0.735,0.734
BCL2L1,ENSG00000171552,BCL2 like 1,0.795,0.692,0.727
ASRGL1,ENSG00000162174,asparaginase and isoaspartyl peptidase 1,0.739,0.666,0.809
PCDHGA8,ENSG00000253767,"protocadherin gamma subfamily A, 8",0.682,0.774,0.758
CPT1A,ENSG00000110090,carnitine palmitoyltransferase 1A,0.758,0.678,0.777
ZBTB47,ENSG00000114853,zinc finger and BTB domain containing 47,0.817,0.634,0.762
PLEKHF1,ENSG00000166289,pleckstrin homology and FYVE domain containing 1,0.616,0.764,0.833
C1QTNF1,ENSG00000173918,C1q and TNF related 1,0.694,0.739,0.78
PCDHGB6,ENSG00000253305,"protocadherin gamma subfamily B, 6",0.681,0.774,0.757
PEX11G,ENSG00000104883,peroxisomal biogenesis factor 11 gamma,0.683,0.731,0.798
AGPAT1,ENSG00000204310,1-acylglycerol-3-phosphate O-acyltransferase 1,0.742,0.804,0.666
PCDHGB2,ENSG00000253910,"protocadherin gamma subfamily B, 2",0.681,0.774,0.757
DHX58,ENSG00000108771,DExH-box helicase 58,0.734,0.621,0.857
PCDHGA5,ENSG00000253485,"protocadherin gamma subfamily A, 5",0.682,0.774,0.756
C22orf31,ENSG00000100249,chromosome 22 open reading frame 31,0.736,0.634,0.841
PLSCR1,ENSG00000188313,phospholipid scramblase 1,0.697,0.635,0.879
ZNF385C,ENSG00000187595,zinc finger protein 385C,0.691,0.728,0.79
ORAI3,ENSG00000175938,ORAI calcium release-activated calcium modulator 3,0.641,0.684,0.882
CBLN2,ENSG00000141668,cerebellin 2 precursor,0.879,0.534,0.794
EDN1,ENSG00000078401,endothelin 1,0.809,0.544,0.853
PCDHGA12,ENSG00000253159,"protocadherin gamma subfamily A, 12",0.684,0.768,0.754
TPRG1L,ENSG00000158109,tumor protein p63 regulated 1 like,0.759,0.754,0.692
MT1G,ENSG00000125144,metallothionein 1G,0.732,0.551,0.922
RAC2,ENSG00000128340,Rac family small GTPase 2,0.618,0.801,0.785
TMEM204,ENSG00000131634,transmembrane protein 204,0.758,0.654,0.792
GAS2L1,ENSG00000185340,growth arrest specific 2 like 1,0.79,0.671,0.742
LTBR,ENSG00000111321,lymphotoxin beta receptor,0.672,0.708,0.823
MOB3C,ENSG00000142961,MOB kinase activator 3C,0.672,0.716,0.815
GLO1,ENSG00000124767,glyoxalase I,0.721,0.788,0.693
SFRP5,ENSG00000120057,secreted frizzled related protein 5,0.738,0.637,0.827
ARID5A,ENSG00000196843,AT-rich interaction domain 5A,0.717,0.629,0.856
JOSD2,ENSG00000161677,Josephin domain containing 2,0.753,0.642,0.805
SLC25A10,ENSG00000183048,solute carrier family 25 member 10,0.768,0.632,0.799
HCK,ENSG00000101336,"HCK proto-oncogene, Src family tyrosine kinase",0.703,0.721,0.775
C6orf62,ENSG00000112308,chromosome 6 open reading frame 62,0.777,0.722,0.699
METTL7B,ENSG00000170439,methyltransferase like 7B,0.791,0.552,0.855
TMEM238,ENSG00000233493,transmembrane protein 238,0.772,0.559,0.866
EMILIN1,ENSG00000138080,elastin microfibril interfacer 1,0.713,0.69,0.794
HAAO,ENSG00000162882,"3-hydroxyanthranilate 3,4-dioxygenase",0.697,0.64,0.859
COMT,ENSG00000093010,catechol-O-methyltransferase,0.694,0.754,0.748
MXD4,ENSG00000123933,MAX dimerization protein 4,0.802,0.566,0.828
EMX2,ENSG00000170370,empty spiracles homeobox 2,0.775,0.651,0.769
KIF5B,ENSG00000170759,kinesin family member 5B,0.774,0.723,0.698
MPG,ENSG00000103152,N-methylpurine DNA glycosylase,0.701,0.68,0.814
FASTK,ENSG00000164896,Fas activated serine/threonine kinase,0.709,0.715,0.769
PSMD8,ENSG00000099341,"proteasome 26S subunit, non-ATPase 8",0.779,0.707,0.707
AGER,ENSG00000204305,advanced glycosylation end-product specific receptor,0.728,0.631,0.834
C11orf96,ENSG00000187479,chromosome 11 open reading frame 96,0.72,0.666,0.806
EPHX1,ENSG00000143819,epoxide hydrolase 1,0.673,0.756,0.762
CCDC167,ENSG00000198937,coiled-coil domain containing 167,0.725,0.688,0.777
HMOX1,ENSG00000100292,heme oxygenase 1,0.723,0.563,0.904
MRPS12,ENSG00000128626,mitochondrial ribosomal protein S12,0.775,0.649,0.765
WNT7B,ENSG00000188064,Wnt family member 7B,0.775,0.545,0.868
SDCBP2,ENSG00000125775,syndecan binding protein 2,0.691,0.771,0.726
KLF2,ENSG00000127528,Kruppel like factor 2,0.632,0.772,0.783
HTRA1,ENSG00000166033,HtrA serine peptidase 1,0.606,0.852,0.729
CLSTN1,ENSG00000171603,calsyntenin 1,0.72,0.759,0.706
ABHD1,ENSG00000143994,abhydrolase domain containing 1,0.641,0.738,0.806
TCTE1,ENSG00000146221,t-complex-associated-testis-expressed 1,0.747,0.718,0.72
TRIP10,ENSG00000125733,thyroid hormone receptor interactor 10,0.664,0.692,0.829
OASL,ENSG00000135114,2'-5'-oligoadenylate synthetase like,0.728,0.545,0.911
EGFL7,ENSG00000172889,EGF like domain multiple 7,0.734,0.684,0.766
IGSF5,ENSG00000183067,immunoglobulin superfamily member 5,0.687,0.767,0.73
DEFA3,ENSG00000239839,defensin alpha 3,0.658,0.64,0.885
PARP9,ENSG00000138496,poly(ADP-ribose) polymerase family member 9,0.65,0.674,0.858
PITPNA,ENSG00000174238,phosphatidylinositol transfer protein alpha,0.732,0.836,0.614
LILRB4,ENSG00000186818,leukocyte immunoglobulin like receptor B4,0.646,0.759,0.777
APLN,ENSG00000171388,apelin,0.715,0.7,0.767
LAGE3,ENSG00000196976,L antigen family member 3,0.808,0.592,0.781
DDTL,ENSG00000099974,D-dopachrome tautomerase like,0.707,0.74,0.734
TMEM132A,ENSG00000006118,transmembrane protein 132A,0.663,0.774,0.744
HMG20B,ENSG00000064961,high mobility group 20B,0.73,0.654,0.797
VPREB3,ENSG00000128218,V-set pre-B cell surrogate light chain 3,0.781,0.573,0.827
MTFP1,ENSG00000242114,mitochondrial fission process 1,0.771,0.606,0.804
COL20A1,ENSG00000101203,collagen type XX alpha 1 chain,0.666,0.791,0.724
ARL16,ENSG00000214087,ADP ribosylation factor like GTPase 16,0.693,0.697,0.79
SLC2A5,ENSG00000142583,solute carrier family 2 member 5,0.696,0.636,0.848
G0S2,ENSG00000123689,G0/G1 switch 2,0.657,0.727,0.796
ZNF219,ENSG00000165804,zinc finger protein 219,0.8,0.526,0.853
HRH3,ENSG00000101180,histamine receptor H3,0.847,0.543,0.789
HRCT1,ENSG00000196196,histidine rich carboxyl terminus 1,0.784,0.577,0.817
ZBTB7B,ENSG00000160685,zinc finger and BTB domain containing 7B,0.731,0.63,0.816
MGMT,ENSG00000170430,O-6-methylguanine-DNA methyltransferase,0.726,0.631,0.819
PACS2,ENSG00000179364,phosphofurin acidic cluster sorting protein 2,0.805,0.638,0.732
DNAJB1,ENSG00000132002,DnaJ heat shock protein family (Hsp40) member B1,0.562,0.77,0.843
SLC13A5,ENSG00000141485,solute carrier family 13 member 5,0.761,0.663,0.75
CBY3,ENSG00000204659,chibby family member 3,0.703,0.727,0.744
ITGB4,ENSG00000132470,integrin subunit beta 4,0.736,0.524,0.913
DYNC1LI2,ENSG00000135720,dynein cytoplasmic 1 light intermediate chain 2,0.796,0.625,0.752
LDHD,ENSG00000166816,lactate dehydrogenase D,0.663,0.744,0.765
TRAPPC6A,ENSG00000007255,trafficking protein particle complex subunit 6A,0.738,0.642,0.791
ESPN,ENSG00000187017,espin,0.691,0.677,0.803
PARVG,ENSG00000138964,parvin gamma,0.64,0.729,0.8
BGN,ENSG00000182492,biglycan,0.775,0.665,0.729
HINT2,ENSG00000137133,histidine triad nucleotide binding protein 2,0.699,0.777,0.693
SYK,ENSG00000165025,spleen associated tyrosine kinase,0.609,0.865,0.694
PRR7,ENSG00000131188,"proline rich 7, synaptic",0.749,0.677,0.742
SPNS3,ENSG00000182557,sphingolipid transporter 3 (putative),0.699,0.694,0.775
CSAG1,ENSG00000198930,chondrosarcoma associated gene 1,0.759,0.535,0.872
SDC4,ENSG00000124145,syndecan 4,0.613,0.602,0.951
VASP,ENSG00000125753,vasodilator stimulated phosphoprotein,0.75,0.665,0.751
NRXN2,ENSG00000110076,neurexin 2,0.706,0.763,0.696
CIB1,ENSG00000185043,calcium and integrin binding 1,0.685,0.681,0.799
GIMAP5,ENSG00000196329,"GTPase, IMAP family member 5",0.67,0.705,0.788
AMH,ENSG00000104899,anti-Mullerian hormone,0.779,0.55,0.834
SKP1,ENSG00000113558,S-phase kinase associated protein 1,0.719,0.769,0.675
DEXI,ENSG00000182108,Dexi homolog,0.811,0.596,0.755
SCARA3,ENSG00000168077,scavenger receptor class A member 3,0.778,0.582,0.802
PARP12,ENSG00000059378,poly(ADP-ribose) polymerase family member 12,0.649,0.684,0.828
PTPN6,ENSG00000111679,protein tyrosine phosphatase non-receptor type 6,0.674,0.694,0.793
C19orf38,ENSG00000214212,chromosome 19 open reading frame 38,0.687,0.716,0.758
TRIM56,ENSG00000169871,tripartite motif containing 56,0.743,0.594,0.823
SPAG7,ENSG00000091640,sperm associated antigen 7,0.667,0.81,0.683
PNMT,ENSG00000141744,phenylethanolamine N-methyltransferase,0.735,0.595,0.83
BMP7,ENSG00000101144,bone morphogenetic protein 7,0.647,0.755,0.758
BSPRY,ENSG00000119411,B-box and SPRY domain containing,0.73,0.605,0.823
SLC27A1,ENSG00000130304,solute carrier family 27 member 1,0.682,0.713,0.762
ZNF787,ENSG00000142409,zinc finger protein 787,0.741,0.651,0.765
LSM10,ENSG00000181817,"LSM10, U7 small nuclear RNA associated",0.715,0.658,0.784
OXTR,ENSG00000180914,oxytocin receptor,0.605,0.79,0.762
RTP4,ENSG00000136514,receptor transporter protein 4,0.72,0.541,0.894
TMEM51,ENSG00000171729,transmembrane protein 51,0.674,0.674,0.807
HSD11B2,ENSG00000176387,hydroxysteroid 11-beta dehydrogenase 2,0.78,0.58,0.795
SYDE1,ENSG00000105137,synapse defective Rho GTPase homolog 1,0.632,0.73,0.792
APBB1,ENSG00000166313,amyloid beta precursor protein binding family B member 1,0.723,0.737,0.694
MS4A7,ENSG00000166927,membrane spanning 4-domains A7,0.625,0.741,0.787
F3,ENSG00000117525,"coagulation factor III, tissue factor",0.733,0.667,0.753
PDLIM4,ENSG00000131435,PDZ and LIM domain 4,0.627,0.712,0.814
MICALL2,ENSG00000164877,MICAL like 2,0.635,0.685,0.832
TIMP3,ENSG00000100234,TIMP metallopeptidase inhibitor 3,0.729,0.679,0.744
DCTPP1,ENSG00000179958,dCTP pyrophosphatase 1,0.797,0.609,0.746
SPEF1,ENSG00000101222,sperm flagellar 1,0.839,0.671,0.642
EPB41L1,ENSG00000088367,erythrocyte membrane protein band 4.1 like 1,0.813,0.588,0.751
HAMP,ENSG00000105697,hepcidin antimicrobial peptide,0.787,0.559,0.805
MOAP1,ENSG00000165943,modulator of apoptosis 1,0.805,0.648,0.698
FLYWCH2,ENSG00000162076,FLYWCH family member 2,0.739,0.67,0.741
HSDL2,ENSG00000119471,hydroxysteroid dehydrogenase like 2,0.729,0.676,0.745
C4orf19,ENSG00000154274,chromosome 4 open reading frame 19,0.675,0.734,0.74
CTSB,ENSG00000164733,cathepsin B,0.628,0.881,0.639
EFHD2,ENSG00000142634,EF-hand domain family member D2,0.772,0.739,0.636
RIMS4,ENSG00000101098,regulating synaptic membrane exocytosis 4,0.753,0.607,0.787
GNMT,ENSG00000124713,glycine N-methyltransferase,0.727,0.744,0.675
DYNLRB2,ENSG00000168589,dynein light chain roadblock-type 2,0.683,0.55,0.913
TEAD3,ENSG00000007866,TEA domain transcription factor 3,0.686,0.594,0.866
RNASE2,ENSG00000169385,ribonuclease A family member 2,0.626,0.644,0.876
PCK2,ENSG00000100889,"phosphoenolpyruvate carboxykinase 2, mitochondrial",0.709,0.624,0.811
TCF15,ENSG00000125878,transcription factor 15,0.648,0.729,0.767
BRI3,ENSG00000164713,brain protein I3,0.665,0.737,0.742
S100P,ENSG00000163993,S100 calcium binding protein P,0.71,0.63,0.803
HERC5,ENSG00000138646,HECT and RLD domain containing E3 ubiquitin protein ligase 5,0.649,0.638,0.856
UCN,ENSG00000163794,urocortin,0.77,0.557,0.815
ABHD16B,ENSG00000183260,abhydrolase domain containing 16B,0.787,0.657,0.697
NMI,ENSG00000123609,N-myc and STAT interactor,0.708,0.597,0.836
IGFBP6,ENSG00000167779,insulin like growth factor binding protein 6,0.685,0.828,0.628
PRX,ENSG00000105227,periaxin,0.724,0.736,0.68
B3GNT7,ENSG00000156966,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",0.738,0.59,0.812
SYNGR1,ENSG00000100321,synaptogyrin 1,0.696,0.724,0.718
FAM32A,ENSG00000105058,family with sequence similarity 32 member A,0.655,0.838,0.644
PDZD11,ENSG00000120509,PDZ domain containing 11,0.685,0.704,0.748
HSD3B7,ENSG00000099377,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7",0.651,0.671,0.815
ITGA7,ENSG00000135424,integrin subunit alpha 7,0.63,0.642,0.864
GPAT2,ENSG00000186281,"glycerol-3-phosphate acyltransferase 2, mitochondrial",0.639,0.756,0.74
SNPH,ENSG00000101298,syntaphilin,0.711,0.658,0.765
LY6H,ENSG00000176956,lymphocyte antigen 6 family member H,0.744,0.611,0.778
SIGLEC14,ENSG00000254415,sialic acid binding Ig like lectin 14,0.619,0.723,0.791
HEPACAM,ENSG00000165478,hepatic and glial cell adhesion molecule,0.78,0.657,0.696
PODNL1,ENSG00000132000,podocan like 1,0.711,0.599,0.822
AKR7A2,ENSG00000053371,aldo-keto reductase family 7 member A2,0.76,0.598,0.773
SNX21,ENSG00000124104,sorting nexin family member 21,0.752,0.722,0.657
UBXN11,ENSG00000158062,UBX domain protein 11,0.767,0.637,0.727
PIK3R2,ENSG00000105647,phosphoinositide-3-kinase regulatory subunit 2,0.83,0.572,0.729
NINJ1,ENSG00000131669,ninjurin 1,0.714,0.664,0.752
ACADVL,ENSG00000072778,acyl-CoA dehydrogenase very long chain,0.566,0.795,0.767
TOMM22,ENSG00000100216,translocase of outer mitochondrial membrane 22,0.765,0.585,0.778
IRF3,ENSG00000126456,interferon regulatory factor 3,0.665,0.782,0.681
HMX1,ENSG00000215612,H6 family homeobox 1,0.717,0.551,0.859
DGKZ,ENSG00000149091,diacylglycerol kinase zeta,0.747,0.602,0.777
SHBG,ENSG00000129214,sex hormone binding globulin,0.641,0.689,0.794
LASP1,ENSG00000002834,LIM and SH3 protein 1,0.76,0.73,0.633
STOML3,ENSG00000133115,stomatin like 3,0.686,0.595,0.842
KLRC2,ENSG00000205809,killer cell lectin like receptor C2,0.681,0.664,0.777
PTGES2,ENSG00000148334,prostaglandin E synthase 2,0.799,0.538,0.785
FABP4,ENSG00000170323,fatty acid binding protein 4,0.698,0.627,0.797
CCDC142,ENSG00000135637,coiled-coil domain containing 142,0.738,0.665,0.719
PRSS56,ENSG00000237412,serine protease 56,0.77,0.525,0.827
TMEM14C,ENSG00000111843,transmembrane protein 14C,0.635,0.796,0.691
SERP2,ENSG00000151778,stress associated endoplasmic reticulum protein family member 2,0.647,0.76,0.714
EEF1D,ENSG00000104529,eukaryotic translation elongation factor 1 delta,0.778,0.54,0.803
TNFRSF1B,ENSG00000028137,TNF receptor superfamily member 1B,0.71,0.658,0.753
RNF181,ENSG00000168894,ring finger protein 181,0.689,0.693,0.738
TMPRSS9,ENSG00000178297,transmembrane serine protease 9,0.687,0.611,0.822
GPR183,ENSG00000169508,G protein-coupled receptor 183,0.607,0.704,0.808
DOC2A,ENSG00000149927,double C2 domain alpha,0.72,0.689,0.71
RPL10,ENSG00000147403,ribosomal protein L10,0.728,0.608,0.782
NPTXR,ENSG00000221890,neuronal pentraxin receptor,0.79,0.707,0.62
PRPH,ENSG00000135406,peripherin,0.654,0.596,0.867
CCDC78,ENSG00000162004,coiled-coil domain containing 78,0.749,0.514,0.851
PTP4A3,ENSG00000184489,protein tyrosine phosphatase 4A3,0.772,0.592,0.75
PPP1R1A,ENSG00000135447,protein phosphatase 1 regulatory inhibitor subunit 1A,0.768,0.624,0.721
QPRT,ENSG00000103485,quinolinate phosphoribosyltransferase,0.71,0.61,0.792
KIF3B,ENSG00000101350,kinesin family member 3B,0.821,0.548,0.743
C6orf223,ENSG00000181577,chromosome 6 open reading frame 223,0.679,0.595,0.838
CHDH,ENSG00000016391,choline dehydrogenase,0.695,0.566,0.851
MLKL,ENSG00000168404,mixed lineage kinase domain like pseudokinase,0.681,0.62,0.81
IRF1,ENSG00000125347,interferon regulatory factor 1,0.628,0.673,0.81
DOCK6,ENSG00000130158,dedicator of cytokinesis 6,0.728,0.602,0.78
EIF4G2,ENSG00000110321,eukaryotic translation initiation factor 4 gamma 2,0.753,0.84,0.517
USP18,ENSG00000184979,ubiquitin specific peptidase 18,0.627,0.646,0.836
HP,ENSG00000257017,haptoglobin,0.761,0.506,0.842
EPN3,ENSG00000049283,epsin 3,0.634,0.668,0.806
CNFN,ENSG00000105427,cornifelin,0.779,0.596,0.733
C16orf89,ENSG00000153446,chromosome 16 open reading frame 89,0.636,0.72,0.752
C1orf162,ENSG00000143110,chromosome 1 open reading frame 162,0.66,0.62,0.827
ADAMTSL4,ENSG00000143382,ADAMTS like 4,0.685,0.579,0.843
MXRA8,ENSG00000162576,matrix remodeling associated 8,0.702,0.609,0.796
LYN,ENSG00000254087,"LYN proto-oncogene, Src family tyrosine kinase",0.663,0.713,0.73
NKG7,ENSG00000105374,natural killer cell granule protein 7,0.67,0.602,0.833
MYLK2,ENSG00000101306,myosin light chain kinase 2,0.71,0.64,0.754
LRRC56,ENSG00000161328,leucine rich repeat containing 56,0.812,0.58,0.711
NCKAP1L,ENSG00000123338,NCK associated protein 1 like,0.628,0.794,0.68
